number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
2,682,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,120.15,446.94,12.02,1.2,0.13,460.29
1,699,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,120,1348.16,12,1.2,0.13,1361.49
1,704,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120,650.97,12,1.2,0.13,664.3
2,704,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240,1301.94,24,2.4,0.27,1328.61
1,705,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,120.15,1349.83,12.02,1.2,0.13,1363.18
1,716,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.08,651.39,12.01,1.2,0.13,664.73
2,716,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.15,1302.79,24.02,2.4,0.27,1329.48
1,725,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.1,607.9,12.01,1.2,0.13,621.24
2,725,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,240.19,1215.8,24.02,2.4,0.27,1242.49
1,747,speed-3-Q5|efficiency-3-Q5,,,120.02,607.52,12,1.2,0.13,620.85
2,747,speed-3-Q5|efficiency-3-Q5,,,240.05,1215.04,24,2.4,0.27,1241.71
1,753,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.05,607.66,12,1.2,0.13,620.99
